"","X1","committee_name","contributor_occupation","college"
"9335",9335,"ACTBLUE","PROFESSOR","CornellU"
"9336",9336,"ACTBLUE","PROFESSOR","CornellU"
"9337",9337,"ACTBLUE","PROFESSOR","CornellU"
"9338",9338,"ACTBLUE","PROFESSOR","CornellU"
"9339",9339,"ACTBLUE","PROFESSOR","CornellU"
"9340",9340,"ACTBLUE","PROFESSOR","CornellU"
"9341",9341,"ACTBLUE","PROFESSOR","CornellU"
"9342",9342,"ACTBLUE","PROFESSOR","CornellU"
"9343",9343,"ACTBLUE","PROFESSOR","CornellU"
"9344",9344,"ACTBLUE","PROFESSOR","CornellU"
"9345",9345,"ACTBLUE","PROFESSOR","CornellU"
"9346",9346,"ACTBLUE","PROFESSOR","CornellU"
"9347",9347,"ACTBLUE","PROFESSOR","CornellU"
"9348",9348,"ACTBLUE","GRAPHIC DESIGNER","CornellU"
"9349",9349,"ACTBLUE","RESEARCH COMPLIANCE ADMINISTRATOR","CornellU"
"9350",9350,"ACTBLUE","GRADUATE STUDENT","CornellU"
"9351",9351,"ACTBLUE","PROFESSOR","SUNYGeneseo"
"9352",9352,"ACTBLUE","LIBRARIAN","CornellU"
"9353",9353,"ACTBLUE","VETERINARIAN","CornellU"
"9354",9354,"ACTBLUE","COMPUTER CONSULTANT","CornellU"
"9355",9355,"ACTBLUE","SENIOR LECTURER","CornellU"
"9356",9356,"ACTBLUE","EXECUTIVE DIRECTOR","CornellU"
"9357",9357,"ACTBLUE","POST-POCTORAL RESEARCHER","CornellU"
"9358",9358,"ACTBLUE","PROFESSOR OF COMPARATIVE LITERATURE","HamiltonC"
"9359",9359,"ACTBLUE","RETIRED PROFESSOR","MolloyC"
"9360",9360,"ACTBLUE","IT SPECIALIST","CornellU"
"9361",9361,"ACTBLUE","LECTURER","CornellU"
"9362",9362,"ACTBLUE","TECHNICAL WRITER","CornellU"
"9363",9363,"ACTBLUE","TECHNICAL WRITER","CornellU"
"9364",9364,"ACTBLUE","PROGRAM CORDINATOR","CornellU"
"9365",9365,"ACTBLUE","FUND-RAISER","CornellU"
"9366",9366,"ACTBLUE","FUND-RAISER","CornellU"
"9367",9367,"ACTBLUE","UNIVERSITY PROFESSOR","RPI"
"9368",9368,"ACTBLUE","STUDENT","CornellU"
"9369",9369,"ACTBLUE","ACT FOR YOUTH COMMUNICATIONS COORDINAT","CornellU"
"9370",9370,"ACTBLUE","TEACHER","HamiltonC"
"9371",9371,"ACTBLUE","EDUCATOR","CornellU"
"9372",9372,"ACTBLUE","PROFESSOR","CornellU"
"9373",9373,"ACTBLUE","EDUCATOR","SUNYGeneseo"
"9374",9374,"ACTBLUE","WRITER","CornellU"
"9375",9375,"ACTBLUE","PROFESSOR","CornellU"
